Train accuracy,Test accuracy
91.46839209904856,90.38875230485556
93.94324091895655,92.76659496004918
94.25720408971156,92.95866625691457
95.00252535593869,93.79609711124769
96.37713802093998,93.74615857406269
97.74492539962051,94.44529809465274
97.50604037839388,94.23017824216349
98.58989584613074,94.08420405654579
99.10179232018783,94.61047940995698
99.01169854075378,94.41072526121697
99.25194861924457,93.96127842655194
99.21918724490493,93.8421942224954
99.39937480377301,94.04963122311001
99.56318167547128,94.39920098340504
99.16731506886714,93.61939151813154
99.64508511132043,94.30700676090964
99.3229315969805,93.43884449907806
99.23283781754644,93.799938537185
99.48400835415046,93.96896127842655
99.73927406254693,94.27627535341118
99.7802257804715,94.33773816840811
99.55499133188637,94.28011677934849
99.73790900528277,94.20712968653964
99.65191039764117,93.80762138905962
99.4225807772636,93.81530424093424
